Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,strongcompnum,eigencentrality
56_22,,,2,2,4,2,2,4,29,0.058201,0.064731,0.000416,0.000166,0,1081,0.040064
61_5,,,6,3,9,6,3,9,25,0.088598,0.104773,0.002578,0.000463,0,1081,0.149505
83_14,,,1,0,1,1,0,1,0,0,0,0,0.000142,0,420,0.034193
2_8,,,2,1,3,2,1,3,1,1,1,0.000048,0.000604,0,554,0.068507
63_1,,,2,0,2,2,0,2,0,0,0,0,0.000766,0,553,0.052802
2_9,,,1,2,3,1,2,3,23,0.074399,0.083689,0,0.000192,0,1081,0.065812
4_142,,,7,6,13,7,6,13,22,0.080357,0.09366,0.002367,0.000559,0,1081,0.140097
58_18,,,5,2,7,5,2,7,2,0.666667,0.75,0.000024,0.000632,0,151,0.279549
2_10,,,1,9,10,1,9,10,22,0.088829,0.101458,0.000101,0.000208,0,1206,0.005871
9_101,,,2,5,7,2,5,7,2,0.727273,0.8125,0.000501,0.00022,0,1066,0.028519
9_124,,,7,0,7,7,0,7,0,0,0,0,0.000856,0,283,0.418748
9_125,,,5,2,7,5,2,7,23,0.087664,0.096143,0.000334,0.000775,0,1081,0.374913
33_60,,,1,0,1,1,0,1,0,0,0,0,0.000132,0,1205,0.010387
33_61,,,1,0,1,1,0,1,0,0,0,0,0.000132,0,1204,0.010387
34_54,,,4,2,6,4,2,6,23,0.087746,0.095638,0.000399,0.000276,0,1203,0.028
47_17,,,3,0,3,3,0,3,0,0,0,0,0.000409,0,669,0.082663
47_30,,,4,0,4,4,0,4,0,0,0,0,0.000221,0,1060,0.042056
57_14,,,3,0,3,3,0,3,0,0,0,0,0.000243,0,777,0.08207
2_11,,,0,3,3,0,3,3,27,0.063514,0.069282,0,0.000113,0,1212,0
4_144,,,3,1,4,3,1,4,26,0.067733,0.073815,0.000101,0.000333,0,1211,0.132904
4_145,,,3,0,3,3,0,3,0,0,0,0,0.000235,0,852,0.144521
8_73,,,2,0,2,2,0,2,0,0,0,0,0.000271,0,1207,0.071009
2_13,,,0,1,1,0,1,1,1,1,1,0,0.000113,1,1214,0
4_5,,,1,0,1,1,0,1,0,0,0,0,0.000208,1,1213,0.005871
2_14,,,1,1,2,1,1,2,21,0.102101,0.113479,0.000101,0.000208,0,1215,0.005871
6_112,,,5,6,11,5,6,11,20,0.113645,0.131236,0.002081,0.000513,0,1081,0.109674
2_15,,,0,11,11,0,11,11,22,0.097684,0.118653,0,0.000113,0,1218,0
2_194,,,4,2,6,4,2,6,28,0.062083,0.067752,0.000275,0.000395,0,1081,0.195578
3_54,,,1,0,1,1,0,1,0,0,0,0,0.000121,0,1217,0.005871
3_178,,,4,4,8,4,4,8,22,0.095565,0.106586,0.000351,0.000312,0,1081,0.125853
9_67,,,3,1,4,3,1,4,1,1,1,0.000079,0.000275,0,1037,0.042434
9_79,,,1,0,1,1,0,1,0,0,0,0,0.000121,0,1216,0.005871
22_46,,,8,0,8,8,0,8,0,0,0,0,0.000584,0,302,0.226855
42_40,,,4,3,7,4,3,7,27,0.066185,0.073264,0.0002,0.000411,0,1081,0.130642
57_13,,,5,4,9,5,4,9,21,0.08719,0.101084,0.001786,0.000421,0,1081,0.114195
69_11,,,6,4,10,6,4,10,2,0.833333,0.9,0.000112,0.00033,0,837,0.089661
2_16,,,0,2,2,0,2,2,1,1,1,0,0.000113,0,1219,0
41_17,,,5,0,5,5,0,5,0,0,0,0,0.000487,0,884,0.045342
63_3,,,2,0,2,2,0,2,0,0,0,0,0.000199,0,546,0.053469
2_17,,,4,6,10,4,6,10,24,0.083892,0.099353,0.001857,0.000271,0,1081,0.121458
29_43,,,5,0,5,5,0,5,0,0,0,0,0.00032,0,552,0.075598
31_28,,,9,4,13,9,4,13,23,0.082542,0.096955,0.002854,0.000556,0,1081,0.25476
33_19,,,3,0,3,3,0,3,0,0,0,0,0.000287,0,541,0.072487
62_5,,,3,1,4,3,1,4,24,0.079661,0.090145,0.000728,0.000248,0,1081,0.077512
2_18,,,2,1,3,2,1,3,1,1,1,0.000033,0.000279,0,551,0.062892
2_19,,,3,7,10,3,7,10,2,0.888889,0.9375,0.000551,0.000161,0,545,0.092486
9_56,,,1,0,1,1,0,1,0,0,0,0,0.000132,0,544,0.037978
9_57,,,1,0,1,1,0,1,0,0,0,0,0.000132,0,543,0.037978
63_4,,,1,1,2,1,1,2,1,1,1,0,0.000132,0,542,0.037978
85_17,,,1,0,1,1,0,1,0,0,0,0,0.000132,0,540,0.037978
85_18,,,1,0,1,1,0,1,0,0,0,0,0.000132,0,539,0.037978
85_19,,,1,0,1,1,0,1,0,0,0,0,0.000132,0,538,0.037978
85_20,,,1,0,1,1,0,1,0,0,0,0,0.000132,0,537,0.037978
2_20,,,1,9,10,1,9,10,21,0.089435,0.108543,0.000133,0.000175,0,1191,0.013455
22_3,,,2,0,2,2,0,2,0,0,0,0,0.000239,0,1189,0.025265
22_8,,,1,1,2,1,1,2,1,1,1,0,0.000129,0,1190,0.012691
22_11,,,3,0,3,3,0,3,0,0,0,0,0.000277,0,877,0.08094
24_39,,,7,1,8,7,1,8,3,0.5,0.583333,0.000025,0.000563,0,331,0.258472
24_40,,,5,3,8,5,3,8,20,0.094127,0.108699,0.005837,0.000371,0,1081,0.176653
57_12,,,2,1,3,2,1,3,29,0.062561,0.074265,0.000151,0.000148,0,1188,0.018562
66_8,,,3,0,3,3,0,3,0,0,0,0,0.00025,0,778,0.071453
76_24,,,2,0,2,2,0,2,0,0,0,0,0.000152,0,391,0.088919
2_22,,,1,4,5,1,4,5,3,0.518519,0.607143,0.000532,0.000226,0,361,0.025328
21_32,,,3,4,7,3,4,7,2,0.7,0.785714,0.000336,0.00027,0,359,0.02841
35_27,,,1,1,2,1,1,2,1,1,1,0.000007,0.000161,0,351,0.016668
40_64,,,3,2,5,3,2,5,4,0.368421,0.446429,0.00061,0.000266,0,361,0.038343
2_23,,,0,5,5,0,5,5,17,0.11872,0.136695,0,0.000113,0,1271,0
10_37,,,1,0,1,1,0,1,0,0,0,0,0.000132,0,1270,0.005871
10_38,,,2,3,5,2,3,5,18,0.096935,0.110829,0.000018,0.000138,0,1269,0.020184
11_13,,,2,0,2,2,0,2,0,0,0,0,0.000171,0,1242,0.02336
17_88,,,2,0,2,2,0,2,0,0,0,0,0.000171,0,1241,0.02336
28_49,,,1,6,7,1,6,7,16,0.130528,0.153187,0.000085,0.000132,0,1240,0.005871
2_24,,,1,21,22,1,21,22,17,0.107307,0.130401,0.000121,0.000152,0,1269,0.017489
2_104,,,4,1,5,4,1,5,24,0.077735,0.084989,0.002858,0.00102,0,1081,0.22787
6_115,,,8,1,9,8,1,9,24,0.082211,0.093859,0.001441,0.000643,0,1081,0.251261
7_157,,,13,3,16,13,3,16,23,0.089551,0.106181,0.009755,0.001924,0,1081,0.445387
11_1,,,3,0,3,3,0,3,0,0,0,0,0.000159,0,1268,0.026055
17_68,,,3,4,7,3,4,7,3,0.6,0.703704,0.000003,0.000387,0,1252,0.064495
17_97,,,6,2,8,6,2,8,2,0.75,0.833333,0.00014,0.000608,0,437,0.255457
21_98,,,6,1,7,6,1,7,4,0.36,0.416667,0.000006,0.000574,0,702,0.130018
26_205,,,1,0,1,1,0,1,0,0,0,0,0.000119,0,1267,0.014313
26_206,,,1,0,1,1,0,1,0,0,0,0,0.000119,0,1266,0.014313
26_207,,,1,3,4,1,3,4,25,0.069092,0.075582,0.000019,0.000119,0,1265,0.014313
29_40,,,1,0,1,1,0,1,0,0,0,0,0.000119,0,1256,0.014313
32_17,,,2,2,4,2,2,4,19,0.099378,0.108721,0.000433,0.000264,0,1255,0.035822
43_71,,,2,0,2,2,0,2,0,0,0,0,0.000215,0,1253,0.020184
67_16,,,4,1,5,4,1,5,1,1,1,0.000001,0.000286,0,1245,0.073542
67_17,,,4,1,5,4,1,5,4,0.391304,0.453704,0.000001,0.000286,0,1252,0.073542
72_15,,,1,0,1,1,0,1,0,0,0,0,0.000119,0,1244,0.014313
103_1,,,6,0,6,6,0,6,0,0,0,0,0.00026,0,46,0.080425
103_2,,,6,0,6,6,0,6,0,0,0,0,0.00026,0,45,0.080425
103_3,,,6,0,6,6,0,6,0,0,0,0,0.00026,0,44,0.080425
108_1,,,1,0,1,1,0,1,0,0,0,0,0.000119,0,1243,0.014313
2_26,,,1,16,17,1,16,17,15,0.130594,0.158493,0.00008,0.000119,0,1290,0.005871
6_44,,,4,0,4,4,0,4,0,0,0,0,0.000243,0,295,0.086228
6_154,,,2,12,14,2,12,14,15,0.13499,0.163121,0.000225,0.000138,0,1238,0.020774
14_24,,,2,0,2,2,0,2,0,0,0,0,0.000279,0,274,0.097283
14_25,,,1,0,1,1,0,1,0,0,0,0,0.000119,0,1289,0.010387
