Source,Target
3_162,28_61
3_164,6_130
3_164,6_132
3_164,12_109
3_164,18_110
3_164,25_20
3_164,30_21
3_173,74_8
3_175,3_173
3_175,4_76
3_175,22_40
3_175,39_36
3_175,39_38
3_175,40_51
3_175,40_52
3_175,47_7
3_175,58_19
3_175,58_21
3_178,9_55
3_178,23_55
3_178,23_56
3_178,68_44
3_179,72_26
3_179,72_27
3_181,2_245
3_185,3_102
3_185,13_26
3_185,16_96
3_185,28_60
3_185,55_26
3_185,55_27
3_185,87_16
3_185,87_17
3_186,2_109
3_186,2_155
3_186,2_156
3_190,12_105
3_190,12_106
3_191,28_88
3_195,2_186
3_195,60_1
3_195,85_8
3_197,10_69
3_197,10_70
3_197,28_61
3_197,31_24
3_197,40_4
3_197,86_17
3_198,3_178
3_199,2_121
3_199,3_113
3_199,5_82
3_199,5_83
3_199,5_84
3_199,5_85
3_199,7_159
3_199,17_107
3_199,17_108
3_199,17_109
3_199,28_52
3_199,28_53
3_199,28_54
3_200,19_71
4_1,59_18
4_1,85_9
4_3,4_127
4_3,4_129
4_3,9_28
4_3,35_1
4_6,17_34
4_8,4_11
4_8,6_141
4_8,47_10
4_8,68_17
4_8,68_23
4_8,68_24
4_10,2_220
4_11,8_12
4_12,4_58
4_14,4_12
4_18,6_158
4_18,40_84
4_18,40_85
4_19,2_228
4_19,2_229
4_19,33_21
4_22,4_23
4_22,6_151
4_22,17_32
4_23,2_233
4_23,4_11
4_23,4_24
4_23,24_33
4_23,33_4
4_23,33_37
4_23,33_40
4_23,44_56
4_24,2_229
4_24,4_4
4_24,4_21
4_25,5_5
4_25,24_2
4_25,33_56
4_29,6_151
4_29,24_61
4_29,44_56
4_31,2_275
4_31,3_77
4_31,4_10
4_31,4_93
4_31,8_15
4_31,22_31
4_31,24_23
4_31,25_68
4_31,25_70
4_31,47_25
4_31,60_12
4_32,3_195
4_33,8_75
4_33,33_6
4_34,2_228
4_36,17_23
4_36,19_32
4_36,31_14
4_37,4_38
4_37,100_6
4_37,100_7
4_37,100_8
4_40,6_160
4_40,21_47
4_40,23_101
4_40,31_16
4_40,99_6
4_40,99_7
4_40,99_8
4_41,16_89
4_41,39_69
4_42,6_23
4_42,78_40
4_43,2_135
4_43,2_219
4_43,2_237
4_43,3_102
4_43,5_6
4_43,5_38
4_43,5_90
4_43,5_91
4_43,6_7
4_43,11_114
4_43,18_40
4_43,33_49
4_43,109_1
4_46,2_88
4_46,2_104
4_46,22_30
4_47,36_8
4_47,36_9
4_47,62_5
4_48,5_72
4_48,31_13
4_48,31_14
4_48,39_53
4_49,2_111
4_49,5_18
4_49,53_32
4_50,2_80
4_50,2_141
4_51,4_54
4_51,108_3
4_52,33_25
4_54,17_100
4_59,4_29
4_59,5_63
4_59,16_43
4_59,42_10
4_61,24_51
4_61,31_21
4_62,4_60
4_62,5_52
4_69,76_1
4_69,76_20
4_75,4_98
4_75,47_13
4_77,47_20
4_77,47_21
4_78,3_185
4_78,7_131
4_78,21_34
4_78,22_11
4_78,22_45
4_79,42_30
4_81,24_47
4_82,3_7
4_82,47_24
4_84,2_195
4_84,47_4
4_90,9_5
4_91,2_14
4_93,4_48
4_93,6_151
4_93,17_33
4_93,25_68
4_93,25_69
4_93,25_70
4_93,39_53
4_94,8_26
4_97,2_8
4_101,4_23
4_101,4_102
4_101,5_3
4_101,24_33
4_101,73_20
4_102,4_101
4_102,9_103
4_103,9_36
4_104,3_140
4_109,4_116
4_110,3_135
4_110,4_123
4_111,35_18
4_113,28_86
4_113,42_52
4_113,42_53
4_114,78_38
4_114,103_1
4_114,103_2
4_114,103_3
4_115,6_110
4_115,18_53
4_115,37_22
4_115,37_23
4_115,61_5
4_115,68_44
4_116,4_48
4_117,34_41
4_117,36_60
4_117,37_158
4_117,37_159
4_117,43_19
4_117,53_19
4_117,53_20
4_117,53_21
4_117,53_22
4_117,53_23
4_120,14_22
4_120,30_30
4_120,59_7
4_123,2_80
4_123,2_111
4_123,34_17
4_123,99_7
4_123,99_8
4_125,2_124
4_125,3_68
4_125,6_161
4_125,16_120
4_125,16_121
4_125,16_122
4_125,16_123
4_125,46_16
4_125,53_37
4_127,4_3
4_127,4_11
4_131,14_8
4_131,64_6
4_133,14_19
4_133,14_20
4_133,47_38
4_134,2_200
4_134,2_201
4_134,2_202
4_134,11_15
4_134,11_16
4_134,17_18
4_134,17_19
4_134,17_20
4_134,17_21
4_134,42_20
4_135,2_283
4_135,3_78
4_135,5_8
4_136,1_6
4_136,57_28
4_139,35_10
4_139,63_8
4_140,6_68
4_140,6_69
4_141,5_52
4_141,40_51
4_141,40_52
4_141,58_19
4_142,2_9
4_142,9_54
4_142,57_13
4_142,57_14
4_142,57_15
4_142,58_18
4_143,2_20
4_143,7_186
4_143,18_17
4_144,3_28
4_148,42_41
4_151,2_61
4_152,2_285
4_153,2_55
4_153,2_56
4_153,7_138
4_153,7_139
4_153,17_90
4_154,7_163
4_154,7_171
4_154,17_101
4_155,41_5
4_157,3_55
4_157,15_6
4_158,4_18
4_159,5_116
4_159,5_117
4_159,5_118
4_159,21_96
4_159,21_97
4_159,37_24
4_159,40_84
4_159,43_61
4_159,68_42
4_159,73_17
4_160,3_93
4_160,6_146
4_162,2_177
4_163,4_153
4_163,4_156
4_163,6_91
4_164,7_143
4_164,87_14
4_164,87_15
4_164,87_16
4_164,87_17
4_164,87_18
4_164,87_19
4_165,20_134
4_165,28_47
4_166,2_255
4_166,20_110
4_166,41_42
4_170,14_8
4_171,3_45
4_171,3_59
4_171,5_17
4_171,5_73
4_171,5_75
4_171,5_116
4_171,6_101
4_171,9_31
4_171,11_64
4_171,19_88
4_171,19_89
4_171,19_90
4_171,19_91
4_171,19_92
4_171,19_93
4_171,19_94
4_171,19_95
4_171,21_91
4_171,22_26
4_171,28_86
4_171,43_59
4_171,45_13
4_171,66_12
4_172,21_26
4_172,21_27
4_172,21_28
4_172,21_29
4_173,40_60
4_176,2_173
4_176,2_217
4_176,4_12
4_176,5_3
4_176,9_36
4_176,13_25
4_176,28_88
4_176,55_26
4_176,55_27
5_1,2_173
5_1,5_3
5_1,5_4
5_1,13_25
5_1,58_13
5_2,2_198
5_2,2_217
5_2,5_8
5_2,5_42
5_2,9_5
5_2,9_17
5_2,9_18
5_2,9_28
5_2,9_36
5_2,22_32
5_3,2_173
5_3,5_4
5_3,5_90
5_3,5_91
5_3,6_115
5_3,6_145
5_4,6_60
5_4,6_119
5_4,7_157
5_5,2_221
5_5,3_20
5_5,4_25
5_5,6_121
5_5,9_29
5_5,24_3
5_5,98_1
5_6,2_158
5_6,4_2
5_6,76_21
5_7,7_172
5_7,57_8
5_8,24_28
5_8,25_24
5_13,9_29
5_18,3_24
5_19,18_25
5_20,2_143
5_20,3_110
5_20,7_138
5_20,7_139
5_20,7_140
5_20,45_16
5_22,11_43
5_22,26_119
5_22,26_120
5_22,71_26
5_26,5_18
5_27,3_62
5_27,18_13
5_27,19_34
5_32,2_84
5_32,2_85
5_33,2_196
5_33,2_205
5_33,5_89
5_33,5_95
5_33,9_43
5_34,39_53
5_35,17_57
5_41,3_93
5_41,5_42
5_41,5_44
5_41,5_45
5_41,5_47
5_42,5_49
5_44,5_45
5_44,5_47
5_45,5_44
5_46,3_50
5_47,5_68
5_47,7_157
5_48,15_9
5_48,16_36
5_48,17_107
5_48,17_108
5_48,21_25
5_49,6_116
5_49,12_103
5_54,4_133
5_54,14_19
5_54,14_20
5_54,47_38
5_54,48_29
5_56,58_21
5_56,58_22
5_57,3_28
5_57,22_30
5_59,9_74
5_59,85_8
5_64,3_112
5_64,3_181
5_64,4_53
5_64,4_54
5_64,4_55
5_64,14_34
5_64,17_29
5_64,17_82
5_64,25_24
5_64,41_44
5_65,7_96
5_65,30_41
5_66,7_159
5_66,7_181
5_66,35_32
5_66,35_33
5_66,57_27
5_67,2_272
5_67,13_40
5_67,33_37
5_72,4_48
5_72,7_50
5_72,19_30
5_72,19_36
5_73,5_116
5_73,9_30
5_75,12_109
5_75,28_7
5_75,43_59
5_79,5_63
5_79,5_105
5_82,57_27
5_84,3_199
5_84,28_52
5_84,28_53
5_84,28_54
5_84,28_55
5_87,7_31
5_87,25_67
5_87,66_1
5_87,66_2
5_89,2_184
5_90,2_219
5_90,4_43
5_93,2_143
5_94,67_12
5_101,3_97
5_102,6_109
5_102,6_110
5_102,6_111
5_102,17_59
5_103,6_136
5_109,7_6
5_109,15_92
5_109,15_93
5_110,32_1
5_110,32_2
5_110,67_1
5_111,16_68
5_111,16_69
5_111,28_7
5_115,4_145
5_115,5_112
5_115,5_113
5_115,5_114
5_115,40_46
5_116,5_110
5_116,5_119
5_119,9_72
5_119,37_61
5_119,83_26
6_1,6_153
6_1,16_48
6_2,6_60
6_2,7_187
6_2,79_42
6_2,79_43
6_2,79_44
6_3,43_84
6_7,15_14
6_7,15_15
6_7,52_44
6_8,15_8
6_8,25_22
6_9,3_164
6_9,17_95
6_14,39_64
6_14,51_56
6_14,51_57
6_14,51_58
6_16,3_185
6_17,35_2
6_19,6_150
6_19,11_17
6_22,28_62
6_23,40_73
6_23,40_74
6_23,58_18
6_25,2_171
6_25,8_23
6_28,6_23
6_28,6_24
6_28,6_27
6_28,17_102
6_28,27_14
6_28,29_11
6_30,52_15
6_33,18_6
6_33,26_3
6_33,35_8
6_34,37_171
6_34,37_172
6_34,37_173
6_34,58_21
6_35,10_99
6_36,36_70
6_37,17_59
6_37,17_90
6_37,26_4
6_38,11_6
6_38,29_60
6_38,78_40
6_38,81_5
6_39,2_17
6_39,2_18
6_39,24_40
6_41,17_67
6_46,8_24
6_46,10_31
6_46,67_23
6_49,6_82
6_50,13_19
6_51,13_21
6_51,23_57
6_52,6_53
6_52,18_28
6_52,26_111
6_52,26_112
6_52,26_113
6_52,40_60
6_53,6_51
6_53,6_52
6_53,11_27
6_53,19_73
6_53,19_74
6_53,29_69
6_53,46_11
6_54,7_156
6_59,31_34
6_59,40_19
6_60,3_55
6_60,13_10
6_60,28_73
6_60,39_42
6_60,78_10
6_60,78_11
6_61,13_11
6_61,14_27
6_61,50_17
6_61,50_18
6_61,82_10
6_61,82_11
6_61,82_12
6_62,18_47
6_62,18_49
6_62,56_49
6_62,56_50
6_63,10_22
6_63,17_67
6_63,27_63
6_65,17_66
6_65,17_67
6_65,17_68
6_65,17_69
6_65,67_16
6_65,67_17
6_65,67_18
6_66,18_29
6_67,13_38
6_67,38_88
6_68,4_140
6_69,4_140
6_70,2_254
6_70,3_91
6_70,74_38
6_70,74_39
6_71,14_37
6_71,16_37
6_71,39_37
6_73,14_48
6_73,20_107
6_73,21_99
6_73,22_1
6_73,22_2
6_73,25_26
6_73,27_87
6_73,36_59
6_73,36_60
6_73,36_61
