Id,Label,timeset,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,Clustering Coefficient,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
36_73,,,2,0.000481,0.000962,0.000641,2,0,2,0,0,0,0,0.000003,0,71,0,0.00016,0,2383,0,0.016091
22_38,,,0,0,0,0,0,2,2,24,0.080643,0.091236,0,0,0.000429,21,0,0.000113,0,2640,0,0
47_8,,,1,0.000241,0.006736,0.001796,1,0,1,0,0,0,0,0.000024,0,33,0,0.000165,0,1208,0,0.045734
22_41,,,0,0,0,0,0,2,2,4,0.375,0.472222,0,0,0.000025,33,0,0.000113,0,2642,0,0
28_83,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0.000003,0,33,0,0.000161,0,2641,0,0.003053
22_44,,,0,0,0,0,0,2,2,33,0.047378,0.052018,0,0,0.003308,75,0,0.000113,0,2643,0,0
22_47,,,2,0.000481,0.326918,0.034422,2,3,5,20,0.090961,0.100444,15752.749084,0.00005,0.000183,25,0.3,0.00037,0,1081,0.25,0.097189
32_5,,,1,0.000241,0.326918,0.031158,1,1,2,23,0.080786,0.090805,15048.965751,0.000024,0.000052,25,0,0.000218,0,1081,0,0.033286
22_51,,,0,0,0,0,0,2,2,27,0.065191,0.073211,0,0,0.00022,50,0,0.000113,0,2644,0,0
22_52,,,0,0,0,0,0,4,4,18,0.100427,0.112339,0,0,0.000892,71,0,0.000113,0,2645,0,0
22_54,,,0,0,0,0,0,1,1,1,1,1,0,0,0.000132,73,0,0.000113,0,2646,0,0
22_55,,,0,0,0,0,0,3,3,20,0.102002,0.120882,0,0,0.000389,55,0.333333,0.000113,0,2648,0.166667,0
22_56,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0.000051,0,55,0,0.000145,0,2647,0,0.003053
22_57,,,0,0,0,0,0,1,1,19,0.099326,0.108209,0,0,0.000093,21,0,0.000113,0,2649,0,0
22_58,,,0,0,0,0,0,4,4,23,0.07268,0.079611,0,0,0.000003,36,0,0.000113,0,2652,0,0
3_169,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0,0,36,0,0.000137,0,2651,0,0.003053
4_100,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0,0,36,0,0.000137,0,2650,0,0.003053
3_27,,,1,0.000241,0.327159,0.0278,1,0,1,0,0,0,0,0,0,18,0,0.000223,0,719,0,0.034469
22_62,,,0,0,0,0,0,2,2,22,0.087026,0.102239,0,0,0.00571,5,1,0.000113,0,2653,0.5,0
22_66,,,0,0,0,0,0,3,3,23,0.080277,0.096698,0,0,0.00003,106,0.666667,0.000113,0,2654,0.666667,0
22_67,,,0,0,0,0,0,2,2,24,0.071347,0.077159,0,0,0,32,0,0.000113,0,2656,0,0
28_87,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0,0,32,0,0.000161,0,2655,0,0.003053
22_68,,,0,0,0,0,0,2,2,20,0.10018,0.113967,0,0,0.000002,30,0,0.000113,0,2661,0,0
46_8,,,1,0.000241,0.000241,0.000241,1,9,10,21,0.089859,0.103273,492.633333,0,0.000086,3,0,0.000161,0,2660,0,0.003053
22_69,,,0,0,0,0,0,1,1,21,0.085878,0.093666,0,0,0,10,0,0.000113,0,2663,0,0
42_15,,,1,0.000241,0.000241,0.000241,1,2,3,20,0.093893,0.104814,1779,0,0.00001,10,0,0.000208,0,2662,0,0.003053
22_71,,,0,0,0,0,0,1,1,1,1,1,0,0,0.000006,20,0,0.000113,0,2665,0,0
23_117,,,3,0.000722,0.000722,0.000722,3,0,3,0,0,0,0,0.000045,0,20,0,0.000268,0,2664,0,0.009158
22_76,,,0,0,0,0,0,4,4,18,0.109725,0.124646,0,0,0.000055,5,0,0.000113,0,2666,0,0
2_21,,,2,0.000481,0.328602,0.032541,2,0,2,0,0,0,0,0.000096,0,23,0,0.000447,0,360,0,0.12778
23_3,,,0,0,0,0,0,1,1,1,1,1,0,0,0.000003,17,0,0.000113,0,2667,0,0
25_72,,,2,0.000481,0.3274,0.025804,2,0,2,0,0,0,0,0.000022,0,17,0,0.000228,0,637,0,0.093374
23_4,,,0,0,0,0,0,5,5,2,0.55102,0.592593,0,0,0.000003,20,0.2,0.000113,0,2668,0.1,0
30_20,,,2,0.000481,0.32764,0.022458,2,0,2,0,0,0,0,0,0,21,0,0.00038,0,648,0,0.03845
32_7,,,1,0.000241,0.3274,0.022426,1,0,1,0,0,0,0,0.000003,0,71,0,0.000149,0,646,0,0.035397
32_8,,,1,0.000241,0.3274,0.022426,1,0,1,0,0,0,0,0.000003,0,71,0,0.000149,0,645,0,0.035397
77_20,,,3,0.000722,0.328602,0.023425,3,0,3,0,0,0,0,0.000076,0,71,0,0.000204,0,644,0,0.06688
77_21,,,3,0.000722,0.328602,0.023425,3,0,3,0,0,0,0,0.000041,0,71,0,0.000286,0,643,0,0.06688
77_22,,,2,0.000481,0.328362,0.023392,2,0,2,0,0,0,0,0.000041,0,71,0,0.00019,0,642,0,0.063828
77_23,,,1,0.000241,0.3274,0.022426,1,0,1,0,0,0,0,0.000003,0,71,0,0.000149,0,641,0,0.035397
23_15,,,0,0,0,0,0,1,1,25,0.069191,0.07632,0,0,0,106,0,0.000113,0,2671,0,0
29_20,,,1,0.000241,0.000241,0.000241,1,3,4,24,0.074292,0.083671,1742,0,0.000002,106,0,0.000208,0,2670,0,0.003053
23_17,,,0,0,0,0,0,5,5,22,0.087499,0.103272,0,0,0.000846,5,0.2,0.000113,0,2672,0.1,0
71_15,,,3,0.000722,0.327159,0.031114,3,0,3,0,0,0,0,0.00012,0,5,0.333333,0.000371,0,59,0.166667,0.105389
23_19,,,0,0,0,0,0,1,1,22,0.089008,0.09734,0,0,0,11,0,0.000113,0,2673,0,0
23_26,,,0,0,0,0,0,1,1,1,1,1,0,0,0,10,0,0.000113,0,2674,0,0
23_41,,,0,0,0,0,0,2,2,2,0.75,0.833333,0,0,0.00001,30,0,0.000113,0,2676,0,0
43_76,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0.000001,0,30,0,0.000161,0,2675,0,0.003053
34_19,,,1,0.000241,0.326918,0.02334,1,5,6,19,0.102318,0.119241,27836.565415,0.000025,0.000002,3,0.066667,0.00016,0,1081,0.033333,0.015106
23_49,,,0,0,0,0,0,1,1,5,0.346154,0.42037,0,0,0.000016,15,0,0.000113,0,2677,0,0
23_50,,,0,0,0,0,0,1,1,2,0.666667,0.75,0,0,0,60,0,0.000113,34,2678,0,0
23_54,,,0,0,0,0,0,2,2,3,0.5,0.595238,0,0,0.000035,9,0,0.000113,0,2679,0,0
34_37,,,2,0.000481,0.32764,0.031379,2,0,2,0,0,0,0,0.000011,0,36,0,0.000245,0,296,0,0.107225
68_45,,,1,0.000241,0.327159,0.025197,1,0,1,0,0,0,0,0.000011,0,81,0,0.000143,0,293,0,0.0888
74_11,,,3,0.000722,0.3274,0.025246,3,0,3,0,0,0,0,0.000054,0,81,0.333333,0.000168,0,292,0.333333,0.137446
74_12,,,3,0.000722,0.3274,0.025246,3,0,3,0,0,0,0,0.000054,0,81,0.333333,0.000168,0,291,0.333333,0.137446
74_13,,,3,0.000722,0.3274,0.025246,3,0,3,0,0,0,0,0.000054,0,81,0.333333,0.000168,0,290,0.333333,0.137446
74_14,,,3,0.000722,0.3274,0.025246,3,0,3,0,0,0,0,0.000054,0,81,0.333333,0.000168,0,289,0.333333,0.137446
74_15,,,3,0.000722,0.3274,0.025246,3,0,3,0,0,0,0,0.000054,0,81,0.333333,0.000168,0,288,0.333333,0.137446
74_16,,,3,0.000722,0.3274,0.025246,3,0,3,0,0,0,0,0.000054,0,81,0.333333,0.000168,0,287,0.333333,0.137446
23_58,,,0,0,0,0,0,1,1,24,0.078055,0.084989,0,0,0.009082,5,0,0.000113,0,2680,0,0
23_64,,,0,0,0,0,0,4,4,3,0.5625,0.685185,0,0,0.000004,26,0,0.000113,0,2685,0,0
38_3,,,1,0.000241,0.000241,0.000241,1,2,3,1,1,1,2,0,0,26,0,0.000137,0,2684,0,0.003053
73_11,,,2,0.000481,0.000722,0.000541,2,1,3,2,0.6,0.666667,6,0.000027,0.000451,26,0,0.000171,0,2683,0,0.009092
73_12,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0,0,26,0,0.000137,0,2682,0,0.003053
73_13,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0,0,26,0,0.000137,0,2681,0,0.003053
40_12,,,4,0.000962,0.326918,0.02986,4,1,5,26,0.064912,0.072229,5316.262302,0.000168,0.000055,48,0.2,0.000325,0,1081,0.1,0.177459
23_71,,,1,0.000241,0.000722,0.000361,1,4,5,2,0.666667,0.75,24,0,0.0003,18,0.1,0.000186,0,1874,0.05,0.007472
23_72,,,0,0,0,0,0,5,5,28,0.061703,0.070307,0,0,0,22,0,0.000113,0,2691,0,0
34_47,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0,0,22,0,0.000132,0,2690,0,0.003053
36_20,,,2,0.000481,0.000481,0.000481,2,0,2,0,0,0,0,0,0,22,0,0.000228,0,2689,0,0.006105
36_21,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0,0,22,0,0.000132,0,2688,0,0.003053
38_86,,,2,0.000481,0.000722,0.000541,2,0,2,0,0,0,0,0,0,22,0,0.000232,0,1301,0,0.009092
42_23,,,2,0.000481,0.000722,0.000541,2,2,4,27,0.065572,0.074376,5096,0,0.003369,22,0,0.000167,0,2687,0,0.009092
23_75,,,1,0.000241,0.000241,0.000241,1,4,5,26,0.064998,0.073603,2.5,0.000008,0.000107,48,0.2,0.000132,0,2692,0.1,0.003053
6_29,,,2,0.000481,0.327159,0.029813,2,0,2,0,0,0,0,0.000038,0,48,0,0.000284,0,153,0,0.10581
23_76,,,0,0,0,0,0,1,1,1,1,1,0,0,0,72,0,0.000113,43,2694,0,0
6_43,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0,0,72,0,0.000208,43,2693,0,0.003053
23_78,,,0,0,0,0,0,1,1,3,0.5,0.611111,0,0,0.000014,17,0,0.000113,0,2695,0,0
